filename,value,digits,length,width,height,box
1.png,478,"[4, 7, 8]",3,166,141,"[24, 23, 126, 126]"
2.png,71,"[7, 1]",2,295,261,"[32, 13, 181, 236]"
3.png,174,"[1, 7, 4]",3,137,96,"[18, 5, 106, 81]"
4.png,30,"[3, 0]",2,79,50,"[11, 6, 55, 44]"
5.png,288,"[2, 8, 8]",3,81,50,"[8, 5, 63, 43]"
6.png,31,"[3, 1]",2,90,44,"[34, 7, 50, 37]"
7.png,170,"[1, 7, 0]",3,63,44,"[13, 8, 40, 33]"
8.png,81,"[8, 1]",2,88,54,"[7, 4, 54, 47]"
9.png,56,"[5, 6]",2,47,43,"[9, 6, 35, 34]"
10.png,444,"[4, 4, 4]",3,52,41,"[5, 5, 52, 32]"
11.png,6344,"[6, 3, 4, 4]",4,91,40,"[12, 4, 64, 38]"
12.png,301,"[3, 0, 1]",3,60,35,"[6, 3, 47, 30]"
13.png,760,"[7, 6, 0]",3,48,26,"[0, 1, 37, 26]"
14.png,110,"[1, 1, 0]",3,46,29,"[10, 3, 31, 24]"
15.png,575,"[5, 7, 5]",3,73,42,"[10, 2, 53, 38]"
16.png,1855,"[1, 8, 5, 5]",4,142,100,"[19, 20, 105, 76]"
17.png,296,"[2, 9, 6]",3,68,34,"[5, 1, 55, 30]"
18.png,152,"[1, 5, 2]",3,99,72,"[24, 11, 71, 63]"
19.png,35,"[3, 5]",2,85,70,"[22, 13, 42, 45]"
20.png,369,"[3, 6, 9]",3,192,105,"[18, 9, 156, 107]"
21.png,23,"[2, 3]",2,49,32,"[15, 4, 35, 29]"
22.png,4,[4],1,88,44,"[35, 6, 54, 36]"
23.png,177,"[1, 7, 7]",3,70,50,"[7, 4, 54, 44]"
24.png,31,"[3, 1]",2,75,90,"[16, 18, 65, 77]"
25.png,220,"[2, 2, 0]",3,104,72,"[9, 1, 85, 70]"
26.png,113,"[1, 1, 3]",3,126,100,"[23, 27, 87, 78]"
27.png,15,"[1, 5]",2,52,35,"[9, 2, 39, 33]"
28.png,119,"[1, 1, 9]",3,112,48,"[4, 4, 83, 43]"
29.png,94,"[9, 4]",2,80,36,"[17, 7, 52, 30]"
30.png,805,"[8, 0, 5]",3,80,56,"[4, 10, 60, 47]"
31.png,138,"[1, 3, 8]",3,60,41,"[3, 8, 46, 35]"
32.png,295,"[2, 9, 5]",3,92,37,"[11, 1, 59, 33]"
33.png,607,"[6, 0, 7]",3,113,51,"[16, 7, 77, 45]"
34.png,830,"[8, 3, 0]",3,68,44,"[9, 8, 50, 35]"
35.png,640,"[6, 4, 0]",3,68,41,"[7, 1, 49, 37]"
36.png,3,[3],1,86,48,"[11, 9, 25, 39]"
37.png,1,[1],1,113,48,"[32, 1, 53, 42]"
38.png,1000,"[1, 0, 0, 0]",4,94,43,"[7, 5, 69, 37]"
39.png,101,"[1, 0, 1]",3,137,72,"[28, 9, 75, 67]"
40.png,62,"[6, 2]",2,109,84,"[23, 16, 78, 69]"
41.png,345,"[3, 4, 5]",3,65,47,"[5, 7, 53, 45]"
42.png,2,[2],1,121,41,"[41, 15, 59, 26]"
43.png,25517,"[2, 5, 5, 1, 7]",5,192,83,"[8, 15, 151, 69]"
44.png,970,"[9, 7, 0]",3,41,27,"[3, 4, 33, 26]"
45.png,168,"[1, 6, 8]",3,262,190,"[36, 23, 203, 143]"
46.png,88,"[8, 8]",2,164,138,"[22, 10, 115, 129]"
47.png,121,"[1, 2, 1]",3,83,50,"[15, 9, 57, 42]"
48.png,341,"[3, 4, 1]",3,139,96,"[28, 19, 123, 75]"
49.png,330,"[3, 3, 0]",3,98,54,"[9, 5, 71, 47]"
50.png,421,"[4, 2, 1]",3,46,35,"[6, 7, 34, 29]"
51.png,141,"[1, 4, 1]",3,76,38,"[12, 5, 54, 29]"
52.png,1901,"[1, 9, 0, 1]",4,134,106,"[16, 19, 107, 89]"
53.png,126,"[1, 2, 6]",3,102,74,"[16, 14, 76, 56]"
54.png,7,[7],1,70,37,"[27, 6, 41, 32]"
55.png,16,"[1, 6]",2,159,68,"[59, 12, 103, 57]"
56.png,3,[3],1,57,30,"[24, 7, 34, 24]"
57.png,24,"[2, 4]",2,137,64,"[44, 8, 95, 52]"
58.png,301,"[3, 0, 1]",3,142,76,"[16, 1, 109, 68]"
59.png,401,"[4, 0, 1]",3,111,72,"[23, 10, 73, 58]"
60.png,149,"[1, 4, 9]",3,64,55,"[9, 11, 51, 43]"
61.png,22,"[2, 2]",2,40,20,"[11, 2, 31, 18]"
62.png,75,"[7, 5]",2,111,79,"[16, 8, 96, 74]"
63.png,72,"[7, 2]",2,63,33,"[22, 3, 43, 32]"
64.png,390,"[3, 9, 0]",3,75,37,"[4, 3, 46, 35]"
65.png,5,[5],1,88,49,"[33, 10, 55, 45]"
66.png,50,"[5, 0]",2,147,61,"[45, 2, 104, 59]"
67.png,37,"[3, 7]",2,42,51,"[8, 8, 37, 47]"
68.png,528,"[5, 2, 8]",3,90,43,"[15, 9, 67, 35]"
69.png,57,"[5, 7]",2,68,33,"[25, 9, 42, 26]"
70.png,14,"[1, 4]",2,133,104,"[20, 5, 95, 88]"
71.png,65,"[6, 5]",2,37,27,"[5, 3, 27, 26]"
72.png,1589,"[1, 5, 8, 9]",4,75,51,"[11, 15, 55, 38]"
73.png,181,"[1, 8, 1]",3,141,97,"[18, 19, 111, 82]"
74.png,118,"[1, 1, 8]",3,69,49,"[14, 11, 52, 38]"
75.png,14,"[1, 4]",2,37,19,"[6, 1, 27, 20]"
76.png,319,"[3, 1, 9]",3,105,105,"[21, 19, 72, 86]"
77.png,40,"[4, 0]",2,45,34,"[9, 7, 32, 25]"
78.png,74,"[7, 4]",2,109,67,"[22, 2, 64, 51]"
79.png,118,"[1, 1, 8]",3,159,117,"[33, 11, 119, 92]"
80.png,2731,"[2, 7, 3, 1]",4,53,35,"[6, 5, 42, 31]"
81.png,53,"[5, 3]",2,84,35,"[29, 5, 52, 35]"
82.png,315,"[3, 1, 5]",3,87,40,"[24, 7, 58, 36]"
83.png,36,"[3, 6]",2,102,48,"[29, 5, 71, 42]"
84.png,209,"[2, 0, 9]",3,52,29,"[4, 3, 45, 27]"
85.png,137,"[1, 3, 7]",3,226,132,"[34, 34, 132, 108]"
86.png,206,"[2, 0, 6]",3,78,44,"[16, 7, 47, 39]"
87.png,155,"[1, 5, 5]",3,164,114,"[18, 18, 128, 100]"
88.png,464,"[4, 6, 4]",3,65,40,"[8, 6, 49, 37]"
89.png,160,"[1, 6, 0]",3,104,63,"[6, 3, 84, 68]"
90.png,122,"[1, 2, 2]",3,57,44,"[7, 6, 43, 40]"
91.png,58,"[5, 8]",2,179,90,"[42, 12, 113, 76]"
92.png,26,"[2, 6]",2,77,35,"[29, 9, 50, 28]"
93.png,2359,"[2, 3, 5, 9]",4,134,65,"[20, 14, 99, 56]"
